filename,caption,tags
17.webp,,
1c66149bab105c63e3eec770a1301f07_Phoenix_Arizona_1950s.jpg,Phoenix Arizona 1950s,#arizona_history
2021_CAP_system.jpg,Central Arizona Project system (2021),"#salt_river, #arizona"
26  history lesson - CAP.jpg,Central Arizona Project — history overview,"#salt_river, #arizona_history"
28.webp,,
472381424_1017561293735178_8153626582762557490_n.jpg,,
4ef295cf42dbccf9e4d7f6f570608db4_skyline1997.jpg,Phoenix skyline 1997,#arizona_history
635990063153824549-donbollescar.jpg,"Don Bolles' car after the 1976 bombing","#arizona_history, #fbi"
85658765007-phoenix-arizona.webp,,
9c39618f-b0d2-4a13-bb5d-350c6311c037-fox_theatre.webp,Fox Theatre Phoenix,#arizona_history
Historic Phoenix photos.pdf,Historic Phoenix photos (PDF),,
HohokamCanalhist-696x545.jpg,Hohokam canal (historical),"#hohokam_canals, #arizona_history"
Hummingbird_Springs_Wilderness_(9412743529) Sonoran Desert surrounding Phoenix.jpg,Sonoran Desert surrounding Phoenix,#arizona_history
Jack_Swilling_Apache_Boy.jpg,Jack Swilling with Apache boy,#arizona_history
JapaneseAmerican_internment_camp_Poston_Arizona_635654734712298395-phxdc5-6k67hvr0jw3jrjvo9-original.jpg,Japanese-American internment camp Poston Arizona,#arizona_history
John_Dillinger.jpg,John Dillinger,"#fbi, #arizona_history"
Monihon Building Phoenix around 1900.webp,Monihon Building Phoenix ca. 1900,#arizona_history
Phoenix-Arizona.jpg,,
Phoenix1885-AerialMap_HiRes.jpg,Aerial map of Phoenix 1885,"#arizona_history, #hohokam_canals"
Phoenix1908.jpg,Phoenix 1908,#arizona_history
Phoenix_1930s_b8156a02-fc5f-4592-8fb6-5527bc06e16e_1140x641.jpg,Phoenix 1930s,#arizona_history
Phoenix_1950s_85666ec15baa6e348d0e8ce965ccbf90.jpg,Phoenix 1950s,#arizona_history
Phoenix_1965.webp,Phoenix 1965,#arizona_history
Phoenix_downtown03.ca1940s.jpg,Downtown Phoenix ca. 1940s,#arizona_history
Phoenix_postcards_1950s.jpg,Phoenix postcards 1950s,#arizona_history
RooseveltDam1915_4d83a2b407b86.image.jpg,Roosevelt Dam 1915,"#salt_river, #arizona_history"
SA_Paul_Reynolds.webp,Special Agent Paul Reynolds,#fbi
Stanley_Finch.jpeg,Stanley Finch (first FBI Director),#fbi
"The_View_of_Phoenix's_Urban_Sprawl_from_4000_Ft._South_Mountain_in_Background_,_6_1972.jpg",View of Phoenix urban sprawl from South Mountain 1972,#arizona_history
"Vintage Phoenix, Arizona ~ neat-stuff-blogs.pdf",Vintage Phoenix Arizona (PDF),#arizona_history
do-not-use-again-downtown-phoenix-arizona-historical-society-Phoenix_1920s.webp,Downtown Phoenix 1920s,#arizona_history
downtown-phoenix-1900s.webp,Downtown Phoenix 1900s,#arizona_history
downtown-phoenix-1935-do-not-use-again.webp,Downtown Phoenix 1935,#arizona_history
downtown-phoenix-1950-do-not-use-again.webp,Downtown Phoenix 1950,#arizona_history
downtown-phoenix-1973-do-not-use-again.webp,Downtown Phoenix 1973,#arizona_history
downtown-phoenix-national-archives-1987.webp,Downtown Phoenix 1987 (National Archives),#arizona_history
downtown-phoenix-tempe-history-museum-2.webp,Downtown Phoenix (Tempe History Museum),#arizona_history
mcculloch-brothers-phoenix-skyline-1946.webp,McCulloch Brothers — Phoenix skyline 1946,#arizona_history
mccullough-brothers-phoenix-skyline-1933.webp,McCullough Brothers — Phoenix skyline 1933,#arizona_history
mccullough-brothers-phoenix-skyline-1946-cropped.webp,McCullough Brothers — Phoenix skyline 1946 (cropped),#arizona_history
north_central_avenue_phoenix_AZ.jpg,North Central Avenue Phoenix AZ,#arizona_history
phx_sign_made_in.jpg,,
s-l1600.jpg,,
s-l1600.webp,,
